"Numero.Coleccion","Fecha.prueba","Viables","Sin.tincion","Vacias","Infestadas","Fecha.coleccion","Longitud.gd","Latitud.gd","Altitud.m","Longitud.tallo.cm","Dias.entre.colecta.y.prueba","grupo.fenotipico"
"1","2-nov-21",0,11,46,0,"10-ago-21",-74.1872,4.24437,3546,76,84,"Espeletia.complejo.sinbracteas"
"2","2-nov-21",0,5,45,0,"11-ago-21",-74.16421,4.20756,3610,130,83,"Espeletia.complejo.sinbracteas"
"3","2-nov-21",0,0,50,0,"11-ago-21",-74.17687,4.20602,3586,154,83,"Espeletia.complejo.sinbracteas"
"4","2-nov-21",0,0,50,0,"11-ago-21",-74.17949,4.20494,3617,147,83,"Espeletia.complejo.sinbracteas"
"5","2-nov-21",0,13,37,0,"11-ago-21",-74.18264,4.21664,3639,86,83,"Espeletia.complejo.sinbracteas"
"15","2-nov-21",0,0,52,1,"12-ago-21",-74.18102,4.28184,3792,86,82,"Espeletia.complejo.sinbracteas"
"17","2-nov-21",0,0,55,0,"13-ago-21",-74.1982,4.28272,3701,66,81,"Espeletia.complejo.sinbracteas"
"23","2-nov-21",0,7,52,0,"18-ago-21",-74.23887,4.19445,3917,106,76,"Espeletia.summapacis"
"35","2-nov-21",15,5,30,0,"20-ago-21",-74.20068,4.27821,3755,81,74,"Espeletia.killipii"
"101","2-nov-21",1,1,48,0,"11-ago-21",-74.17371,4.22761,3516,96,83,"Espeletia.complejo.sinbracteas"
"102","2-nov-21",1,3,46,0,"11-ago-21",-74.16997,4.22552,3425,25,83,"Espeletia.argentea"
"103","2-nov-21",0,0,50,0,"11-ago-21",-74.16537,4.22013,3507,72,83,"Espeletia.complejo.sinbracteas"
"104","2-nov-21",0,1,49,0,"11-ago-21",-74.16533,4.21978,3503,66,83,"Espeletia.complejo.grandiflora"
"117","2-nov-21",3,1,45,1,"12-ago-21",-74.18325,4.28312,3795,84,82,"Espeletia.killipii"
"118","2-nov-21",0,3,47,0,"12-ago-21",-74.18397,4.28293,3809,102,82,"Espeletia.killipii"
"121","2-nov-21",0,12,38,0,"12-ago-21",-74.18903,4.28018,3769,60,82,"Espeletia.killipii"
"128","2-nov-21",19,6,15,0,"19-ago-21",-74.2665,4.21573,3610,150.5,75,"Espeletia.complejo.sinbracteas"
"130","2-nov-21",4,2,44,0,"19-ago-21",-74.24709,4.21291,3705,112,75,"Espeletia.killipii"
"133","2-nov-21",0,1,49,0,"20-ago-21",-74.21786,4.28562,3875,129,74,"Espeletia.killipii"
"135","2-nov-21",4,5,41,0,"20-ago-21",-74.21868,4.28325,3872,46,74,"Espeletia.complejo.sinbracteas"
"136","2-nov-21",21,5,24,0,"20-ago-21",-74.21773,4.2831,3863,49,74,"Espeletia.complejo.sinbracteas"
"137","2-nov-21",1,1,19,0,"20-ago-21",-74.21178,4.30696,3798,49,74,"Espeletia.complejo.sinbracteas"
"138","2-nov-21",2,2,46,0,"20-ago-21",-74.21192,4.30666,3803,58,74,"Espeletia.complejo.sinbracteas"
"201","2-nov-21",6,4,40,0,"11-ago-21",-74.26257,4.18745,3733,131,83,"Espeletia.complejo.grandiflora"
"215","2-nov-21",8,2,36,0,"11-ago-21",-74.28961,4.20025,3622,106,83,"Espeletia.complejo.sinbracteas"
"221","2-nov-21",22,0,28,0,"11-ago-21",-74.29506,4.21249,3516,82,83,"Espeletia.complejo.sinbracteas"
"228","2-nov-21",1,0,49,0,"1-sep-21",-74.25558,4.02015,3982,160,62,"Espeletia.summapacis"
"229","2-nov-21",0,3,47,0,"1-sep-21",-74.25992,4.02481,4031,73,62,"Espeletia.complejo.grandiflora"
"230","2-nov-21",6,1,42,1,"2-sep-21",-74.25323,4.03762,4011,55,61,"Espeletia.complejo.grandiflora"
"231","2-nov-21",2,4,44,0,"2-sep-21",-74.25307,4.03777,4019,155,61,"Espeletia.summapacis"
"301","2-nov-21",12,1,37,0,"11-ago-21",-74.25632,4.20194,3849,122,83,"Espeletia.complejo.grandiflora"
"302","2-nov-21",1,2,47,0,"11-ago-21",-74.25714,4.20166,3844,93,83,"Espeletia.miradorensis"
"303","2-nov-21",1,2,36,1,"11-ago-21",-74.258,4.20222,3881,102.5,83,"Espeletia.killipii"
"304","2-nov-21",4,5,41,0,"11-ago-21",-74.26372,4.20098,3881,51.5,83,"Espeletia.complejo.grandiflora"
"305","2-nov-21",9,3,38,0,"11-ago-21",-74.26398,4.20016,3871,80.5,83,"Espeletia.complejo.grandiflora"
"306","2-nov-21",0,1,59,0,"11-ago-21",-74.26363,4.19559,3800,90.4,83,"Espeletia.killipii"
"321","2-nov-21",16,10,23,1,"31-ago-21",-74.26602,4.04137,3933,67,63,"Espeletia.complejo.sinbracteas"
"328","2-nov-21",3,4,43,0,"1-sep-21",-74.26109,4.03287,4135,59,62,"Espeletia.complejo.grandiflora"
"329","2-nov-21",6,4,40,0,"1-sep-21",-74.26192,4.03384,4118,164,62,"Espeletia.summapacis"
"9","10-mar-22",0,2,48,0,"12-ago-21",-74.18775,4.29287,3837,42,210,"Espeletia.complejo.sinbracteas"
"10","10-mar-22",20,6,19,0,"12-ago-21",-74.18378,4.29495,3785,161,210,"Espeletia.killipii"
"22","10-mar-22",6,7,37,0,"18-ago-21",-74.23849,4.19753,3896,68,204,"Espeletia.complejo.grandiflora"
"28","10-mar-22",2,1,46,1,"19-ago-21",-74.24709,4.21168,3698,38,203,"Espeletia.killipii"
"30","10-mar-22",20,5,24,1,"19-ago-21",-74.23053,4.18344,3520,87,203,"Espeletia.complejo.grandiflora"
"43","10-mar-22",12,1,37,0,"9-sep-21",-74.33479,3.83374,3858,107,182,"Espeletia.complejo.sinbracteas"
"45","10-mar-22",19,8,23,0,"9-sep-21",-74.35633,3.84894,3515,81,182,"Espeletia.complejo.sinbracteas"
"107","10-mar-22",0,1,49,0,"11-ago-21",-74.17538,4.21195,3528,84,211,"Espeletia.complejo.grandiflora"
"108","10-mar-22",1,2,47,0,"11-ago-21",-74.17609,4.21255,3520,58,211,"Espeletia.complejo.grandiflora"
"110","10-mar-22",0,4,46,0,"11-ago-21",-74.17622,4.21522,3514,84,211,"Espeletia.complejo.sinbracteas"
"111","10-mar-22",0,11,35,0,"11-ago-21",-74.17415,4.21778,3466,81,211,"Espeletia.complejo.grandiflora"
"123","10-mar-22",5,0,40,0,"18-ago-21",-74.23619,4.19976,3905,122,204,"Espeletia.complejo.grandiflora"
"124","10-mar-22",0,0,50,0,"18-ago-21",-74.23885,4.19768,3890,110,204,"Espeletia.killipii"
"156","10-mar-22",15,1,34,0,"9-sep-21",-74.35706,3.81647,3784,72,182,"Espeletia.complejo.sinbracteas"
"209","10-mar-22",1,1,48,0,"11-ago-21",-74.27802,4.19023,3808,69,211,"Espeletia.summapacis"
"210","10-mar-22",8,2,40,0,"11-ago-21",-74.27641,4.1892,3839,61,211,"Espeletia.complejo.grandiflora"
